TSDate,Month,Year,serieNames,sales
23-01-1900,1,2014,serie_2,849
23-01-1900,1,2014,serie_1,2328
24-01-1900,1,2014,serie_1,1881
24-01-1900,1,2014,serie_2,673
25-01-1900,1,2014,serie_1,0
25-01-1900,1,2014,serie_2,5
26-01-1900,1,2014,serie_2,935
26-01-1900,1,2014,serie_1,2455
27-01-1900,1,2014,serie_1,2484
27-01-1900,1,2014,serie_2,907
28-01-1900,1,2014,serie_1,2371
28-01-1900,1,2014,serie_2,874
29-01-1900,1,2014,serie_1,2349
29-01-1900,1,2014,serie_2,877
30-01-1900,1,2014,serie_2,862
30-01-1900,1,2014,serie_1,2552
31-01-1900,1,2014,serie_1,1710
31-01-1900,1,2014,serie_2,650
01-01-1900,2,2014,serie_2,5
01-01-1900,2,2014,serie_1,0
02-01-1900,2,2014,serie_1,2382
02-01-1900,2,2014,serie_2,876
03-01-1900,2,2014,serie_1,2312
03-01-1900,2,2014,serie_2,816
04-01-1900,2,2014,serie_1,2205
04-01-1900,2,2014,serie_2,760
05-01-1900,2,2014,serie_2,849
05-01-1900,2,2014,serie_1,2243
06-01-1900,2,2014,serie_1,2270
06-01-1900,2,2014,serie_2,854
07-01-1900,2,2014,serie_1,1738
07-01-1900,2,2014,serie_2,602
08-01-1900,2,2014,serie_2,5
08-01-1900,2,2014,serie_1,0
09-01-1900,2,2014,serie_1,2507
09-01-1900,2,2014,serie_2,868
10-01-1900,2,2014,serie_1,2404
10-01-1900,2,2014,serie_2,861
11-01-1900,2,2014,serie_2,825
11-01-1900,2,2014,serie_1,2143
12-01-1900,2,2014,serie_1,2131
12-01-1900,2,2014,serie_2,850
13-01-1900,2,2014,serie_2,850
13-01-1900,2,2014,serie_1,2328
14-01-1900,2,2014,serie_1,1613
14-01-1900,2,2014,serie_2,587
15-01-1900,2,2014,serie_1,0
15-01-1900,2,2014,serie_2,5
16-01-1900,2,2014,serie_1,2272
16-01-1900,2,2014,serie_2,798
17-01-1900,2,2014,serie_1,2290
17-01-1900,2,2014,serie_2,846
18-01-1900,2,2014,serie_2,741
18-01-1900,2,2014,serie_1,2034
19-01-1900,2,2014,serie_2,737
19-01-1900,2,2014,serie_1,1903
20-01-1900,2,2014,serie_2,778
20-01-1900,2,2014,serie_1,2083
21-01-1900,2,2014,serie_1,1595
21-01-1900,2,2014,serie_2,564
22-01-1900,2,2014,serie_1,0
22-01-1900,2,2014,serie_2,5
23-01-1900,2,2014,serie_1,2156
23-01-1900,2,2014,serie_2,754
24-01-1900,2,2014,serie_2,855
24-01-1900,2,2014,serie_1,2313
25-01-1900,2,2014,serie_1,2107
25-01-1900,2,2014,serie_2,787
26-01-1900,2,2014,serie_1,2218
26-01-1900,2,2014,serie_2,813
27-01-1900,2,2014,serie_2,780
27-01-1900,2,2014,serie_1,2176
28-01-1900,2,2014,serie_2,581
28-01-1900,2,2014,serie_1,1566
01-01-1900,3,2014,serie_1,0
